comercioBanderaId,banderaDescripcion,comercioRazonSocial
1,Super MAMI,Dinosaurio S.A.
2,La Anonima,S.A. Importadora y Exportadora de la Patagonia
3,Topsy,S.A. Importadora y Exportadora de la Patagonia
4,Bomba,S.A. Importadora y Exportadora de la Patagonia
5,DEHEZA S.A.I.C.F. e I.,Deheza S.A.I.C.F. e I.
6,ESTACION LIMA S.A.,Estación Lima S.A.
7,California Supermercados,California S.A.
8,Supermercados Comodin,Alberdi S.A.
9,Maxi Comodin,Alberdi S.A.
10,Supermercados Cordiez,Cyre S.A.
11,Abastecimiento Mercamax,Cyre S.A.
12,Mariano Max,Mariano S.A.
13,Vea,Jumbo Retail Argentina S.A.
14,Disco,Jumbo Retail Argentina S.A.
15,Jumbo,Jumbo Retail Argentina S.A.
16,Hipermercado Carrefour,INC S.A.
17,Market,INC S.A.
18,Express,INC S.A.
19,Changomas,Wal Mart Argentina S.R.L.
20,Mi Changomas,Wal Mart Argentina S.R.L.
21,Walmart SuperCenter,Wal Mart Argentina S.R.L.
22,COTO CICSA,Coto Centro Integral de Comercialización S.A.
23,Cooperativa Obrera Limitada de Consumo y Vivienda,Cooperativa Obrera Limitada de Consumo y Vivienda
24,Supermercados Becerra,Miguel Becerra S.A.
25,Supermercados DIA,DIA Argentina S.A
26,Hipermercado Libertad,Libertad S.A
27,Mini Libertad,Libertad S.A
28,Atomo,Millan S.A.
29,Super Aiello,Aiello Supermercados S.A.
30,FULL,Operadora de Estaciones de Servicios S.A.
31,LA AGRICOLA REGIONAL COOPERATIVA LIMITADA,La Agricola Regional Cooperativa Limitada
32,Toledo,Supermercados Toledo S.A.
33,Axion Energy,Pan American Energy LLC Argentina
34,Simplicity,Farmacity S.A.
35,LA AMISTAD,Autoservicio La Amistad Cooperativa de Trabajo Limitada
36,JOSIMAR SUPERMERCADOS,Josimar S.A.
37,MUCOOP CAP.SARMIENTO,Asociación Mutual Socios y Adherentes de la Cooperativa Agrícola de Capitán Sarmiento
38,SuperCLC,SUPERCLC S.A.
39,SUPERMERCADOS EL NENE,Supermercado El Nene S.A.
40,ALMACENES PAMPAS,Almacenes Pampas S.A. 
41,ALMACENES DE MARCA,Almacenes de Marca S.A.
42,Sup. Unicoop        ,Cooperativa Agrícola Ganadera e Industrial de Patagones y Viedma LTA.
43,Super Tuti1 y Super Tuti 3,ARNALDO P. APPELLA S.A.
44,Super Tuti2 y Super Todo,SUPERMERCADO TUTI 2 S.A.
45,Diarco,DIARCO
