marcaId,marca
1,LA ANONIMA
2,SIN MARCA
3,PALADINI
4,LA PAULINA
5,DULCOR
6,VEA
7,CARNEVALLI
8,CRISTAL
9,FRIDEZA
10,MIL USOS
11,HEINZ
12,RAMOLAC
13,CAGNOLI
14,SKITTLES
15,NERDS
16,ARCOR
17,MAZZETTI
18,CASTELMAR
19,ESTEBAN
20,MAYBELLINE
21,EMOLAN
22,KINDER
23,KUHNE
24,KUHNE
25,LOWENBRAU
26,KHUNE
27,KONIG PILSENER
28,BITBURGER
29,NIVEA
30,BECKS
31,LA BLANCA
32,SOL
33,NEGRA MODELO
34,REXONA
35,DOVE
36,CORONA
37,AXE
38,GILLETTE
39,TOBLERONE
40,ILOLAY
41,OFF!
42,NOGALY
43,NOVELTEX
44,CELUSAL
45,TERRABUSI
46,TITA
47,LA LACTEO
48,HORTAL
49,MENTHO PLUS
50,SEDAL
51,BELDENT
52,JORGELIN
53,OBLI BON
54,VIRULANA
55,OPERA
56,BAGLEY
57,SER
58,CANNETTINE
59,MILKA
60,SHIMY
61,LA YAPA
62,HALLS
63,DON FELIPE
64,MINERVA
65,JORGITO
66,LOS CRIADORES
67,LENGUETAZO
68,STANI
69,NEVARES
70,CUSENIER
71,DUBARRY
72,MOGY
73,ROCKLETS
74,OREO
75,CADBURY
76,SAPITO
77,TRES PLUMAS
78,SHOT
79,RAYITO DE SOL
80,PEPITOS
81,CEREAL MIX
82,TOP LINE
83,CACHAFAZ
84,COFLER
85,GEORGALOS
86,GREEN MIST
87,CAPILATIS
88,CARREFOUR
89,VAUQUITA
90,WASSINGTON
91,AGUILA
92,DOLCA
93,OBLITA
94,BON O BON
95,SORIANO
96,MISKY
97,TRIO
98,BONAFIDE
99,TATIN
100,ZAFRAN
101,PLUSBELLE
102,DANETTE
103,SAPOLAN
104,CANDY MIX
105,TOYS
106,FUYI
107,MENTHOPLUS
108,CASANCREM
109,HAMLET
110,TORTUGUITA
111,ZAFRAN
112,SANCORITO
113,TOPLINE
114,PIPAS
115,TIC TAC
116,DANET
117,SERENITO
118,TURIMAR
119,MAPSA
120,BIZNIKKE
121,TOFI
122,GUAYMALLEN
123,GOLONDRINA
124,CALFULEN
125,AMERICAN CLUB
126,CONQUISTADOR
127,LA BANDA
128,RHODESIA
129,FERRERO ROCHER
130,BATON
131,MENTOS
132,GAMUZA
133,ALIJOR
134,MUTTI
135,RAFFAELLO
136,MONINI
137,STREGA
138,DROGHERIA Y ALIMENTARI
139,COLAVITA
140,PONTI
141,GROLSCH
142,COMODIN
143,RED BULL
144,COOPERS
145,MAYOL
146,POOSH
147,EL GIGANTE
148,NATURTRUB
149,BECK'S
150,SOL 
151,MODELO
152,ZILLERTAL
153,OFF!!
154,DANONINO
155,CRIADORES
156,ESPADOL
157,CEREAL FORT
158,LULEMUU
159,REFRESCO 
160,CEREAL MILK
161,SANCOR
162,GUAYMALLEN
163,BEN 10
164,DOS HERMANOS
165,GORDONS
166,NEUTROGENA
167,BACARDI
168,ZARA
169,TABASCO
170,GARLIC
171,SWISS MISS
172,NATURE VALLEY
173,BUDWEISER
174,BULLS
175,OLD SPICE
176,KRAFT
177,BULLS EYES
178,BULL'S EYE
179,SAN ANTONIO
180,SCOTCH BRITE
181,GREEN PLAST
182,WRIGLEYS
183,VO5
184,TRESEMME
185,PIAMONTESA
186,PILARCITO
187,CHAMPION
188,VANOLI
189,BOCATTI
190,SANTA TERESA
191,ZIPLOC
192,FLOR DE CANA
193,HUNTS
194,PLANTERS
195,POND'S
196,HERSHEYS
197,COLGATE
198,HUGGIES
199,GOOD NITES
200,MR CLEAN
201,TIDE
202,REVLON
203,SECRET
204,PRINGLES
205,DREFT
206,DOWNY
207,CASCADE
208,PAMPERS
209,ARIEL
210,WALKERS
211,STARB
212,M&M
213,ALVURA
214,STARBERRY
215,KIKKOMAN
216,FRENCHS
217,BLUE DIAMOND
218,BOOST
219,MARUCHAN
220,NUTIVA
221,LA CHOY
222,CHAOKOH
223,MAE PLOY
224,PETER PAN
225,OLD EL PASO
226,GLADE
227,TETRE MIN
228,TETRA FIN
229,SATIN CARE
230,YBARRA
231,NUBY
232,TEDDY
233,RICHS
234,V8
235,CAMPBELLS
236,PREGO
237,AMOPE
238,A1
239,GREY POUPON
240,DON MARCELLO
241,EVIAN
242,BERNARD
243,PEDIASURE
244,ENSURE
245,TWININGS
246,TIDYCAT
247,BIC
248,BIG
249,SOUR PATCH
250,NUTROGENA
251,CELESTIAL SEASONINGS
252,MONSTER
253,GUM
254,IBERIA
255,TRIM
256,CINZANO
257,APPER
258,XTREMES
259,XTREME
260,AIR HEADS
261,SALLY HANSEN
262,HAAGEN DAZS
263,HAWAIAN 
264,HAWAIIAN TROPIC
265,ACTII
266,LA COSTENA
267,JUMEX
268,RISKY DIT
269,RISKY
270,STRAUS
271,OKCIDENTA
272,GAUTHER
273,SOL PUNTANO
274,DON FADEGA
275,LOS RIOS
276,JESSAMY
277,JACOBSENS
278,ST. IVES
279,ST IVES
280,LA CAMPAGNOLA
281,GREAT VALUE
282,LEE KUM KEE
283,WONKA
284,SWEETARTS
285,BANANA BOAT
286,JAMESON
287,CHIVAS REGAL
288,100 PIPERS
289,SOMETHING SPECIAL
290,ST GERMAIN
291,JIM BEAM
292,JACK DANIELS
293,GRANTS
294,CHANTAINE
295,ROBINSON CRUSOE
296,KETEL ONE
297,MAKERS MARK
298,BAILEYS
299,LUXARDO
300,THW GLENLIVET
301,BELVEDERE
302,CIROC
303,IMPERIAL
304,MALIBU
305,BEEFEATER
306,MASS
307,CRISPY GREEN
308,ECOLIGHT
309,HERBAL ESSENCES
310,VILLARS
311,HUNT'S
312,LINA
313,ORAL B
314,CUTEX
315,COLORSILK
316,COLOR SILK
317,BON AQUA
318,PRINGLOOOALS
319,ILE DE FRANCE
320,OKIS
321,FOAMY
322,JOHNNIE WALKER
323,RIMMEL
324,FRUCTIS
325,BROCHE DE ORO
326,INTIPAN
327,BAMMI
328,SILVIA
329,PATA NEGRA
330,APPLETON ESTATE
331,MACKAYS
332,CEREALSOL
333,LOS RUSITOS
334,LA CUMBRE
335,LA NEGRA
336,MONTECITOS
337,CICATRICURE
338,ASEPXIA
339,GOICOECHEA
340,TIO NACHO
341,TEATRICAL
342,PANTENE
343,CLASSIC WHEELS
344,BEYOND TIME
345,GRABYA
346,UNION GANADERA
347,CHACRA
348,PRIMER PRECIO
349,INTIMA
350,INTIMA
351,VILEDA
352,HUMUS
353,GAROTO
354,SNICKERS
355,KAIKEN
356,AMERICAN HONEY
357,WILD TURKEY
358,GRANJA EL PARQUE
359,PATRON
360,RICARDO SANTOS
361,SPLENDA
362,ARGENTIBIO
363,HERR'S
364,KOLESTON
365,SOFT COLOR
366,GOOSE ISLAND
367,P.A.N.
368,FLORES PUNTANAS
369,ALTO MOLINO
370,TUPAC
371,ROSAURA
372,YOGURADE
373,QUEPROT
374,LACAR
375,DELI BOX
376,GLOW
377,EL PARQUE
378,HONGOS DEL PILAR
379,QUINS
380,PAPA QUICK
381,GRANO DE ORO
382,CRISMELOS
383,CRISMELO
384,RISKY-DIT 
385,RISKY-DIT
386,CRISARI
387,MR MUSCULO
388,CABRALES
389,ACTIVIA
390,CANUELAS
391,LA VICTORIA
392,HOJALMAR
393,MAKE
394,PATAGONIA
395,LEEM
396,LITE
397,BROKERS
398,HERO
399,FITZ ROY
400,SEN CHA
401,JACK DANIEL'S
402,ABSOLUT
403,KING OKF
404,BEIGEL & BEIGEL
405,SAN IGNACIO
406,PETRUS
407,LAS PERDICES
408,KING
409,BULLDOG
410,LA SERENISIMA
411,MANFREY
412,SANTA ROSA
413,BAVARIA
414,SAN LUCIO
415,LACTEAR
416,SOBRERO Y CAGNOLO
417,NUEVALAC
418,CREMAC
419,EL DESTINO
420,VILLA NUEVA
421,CHELITA
422,TREGAR
423,ARROYO CABRAL
424,ESTILO REAL
425,AMPARITO
426,REMANSO
427,TREMBLAY
428,ALTO DEL LEON
429,NUEVO MUNICH
430,CAMPO AUSTRAL
431,TAPALQUE
432,TAPALQUE
433,LA PIAMONTESA
434,SAVOIA
435,LARIO
436,ARTIGAS
437,SAN ALFONSO
438,SAVORA
439,ROMYL
440,DISH MATIC
441,FRUTAFIEL
442,MILKAUT
443,CHACRA 43
444,PORTO BELLO
445,LA DIVISA
446,LOS GAUCHOS
447,ETIQUETA NEGRA
448,NUCETE
449,COMPLEMENTO
450,EL COLONIAL
451,LA TIROLESA
452,MAGNASCO
453,CANUT
454,WAPI
455,FAMILIA GRION
456,EL FRIULANO
457,DOLE
458,214
459,PUNTA DEL AGUA
460,MAGRET
461,FELA
462,PRESIDENT
463,VERONICA
464,ROSENBORG
465,ESNAOLA
466,LABRATTO
467,LA POMPEYA
468,HUELLA NATURAL
469,GRANERO
470,CAMPOS DE ARECO
471,ESPUNA
472,AVICOLA LUJAN
473,CABANA PIEDRAS BLANCAS
474,FRIOLIM
475,EL CAZADOR
476,RIOSMA
477,PREMIUM
478,YAMANI
479,SUINO
480,EL APERO
481,BASMATI
482,ALEM
483,LUCRECIA
484,MP
485,MC
486,DONA AURORA
487,CULTIVO DORADO
488,COSTANZO
489,RICREM
490,CRESTA ROJA
491,VISANI
492,HEINE
493,POLLOLIN
494,VISTO BUENO
495,EL AMANECER
496,DOINA
497,ETIQUETA DORADA
498,PUNETA DEL AGUA
499,EL FAMILIAR
500,HULLA NATURAL
501,GRANJA TRES ARROYOS
502,TRES ARROYOS
503,ECO
504,AVICOLA LUJAN 
505,DON ATILIO
506,SANTA ELENA
507,D'AGEN
508,LA EGIPCIANA
509,EL ARTESANO
510,LA SERENISIMA
511,CHAMEN
512,SADIA
513,PUNTA DE AGUA
514,PAMPANESA
515,MENSA
516,ROGGIANO
517,COTO
518,BLANCANUEZ
519,66
520,JAMBO
521,ESTANCIAS COTO
522,ARTYSAN
523,OLDENBURGER
524,FRIDEVI
525,EL POZO
526,MILAMESA
527,LEGADO
528,LASFOR
529,LA HUERTA TAMBO
530,LA MARIA PILAR
531,NUTRIFOOD
532,PIEDRAS BLANCAS
533,PRIMERA MARCA
534,PAMPA CHEESE
535,EL REY DEL MERENGUE
536,LOURISIERRA
537,EBRO
538,LACTEOS 3L
539,POLYMAT
540,SPALEN
541,MONTESANO
542,LA OCTAVA
