id,marcaId,nombre,presentacion
0000000001663,1,Radicheta atada ,1.0 un
0000000002288,1,Perejil atado ,1.0 un
2000957000007,1,Piña ,1.0 kg
2001271000001,1,Carre de cerdo con hueso ,1.0 kg
2001273000009,1,Pechito con hueso de cerdo ,1.0 kg
2004340000001,1,Lengua precocida  congelada,1.0 kg
2009843000008,1,Molleja precocida ,1.0 kg
2011254000003,1,Carne para estofado envasado al vacio ,1.0 kg
2014929000001,1,Tripa gorda precocida ,1.0 kg
2014932000005,1,Carne para estofado ,1.0 kg
2023677000003,1,Morcilla criolla atada  4 un,1.0 kg
2023678000002,1,Morcilla criolla bombon  8 un,1.0 kg
2024051000008,1,Carne picada magra ,1.0 kg
2027437000005,1,Pechito de cerdo congelado ,1.0 kg
2034907000007,1,Medio pollo ,1.0 kg
2035127000006,1,Pollo refrigerado ,1.0 kg
2035189000006,1,Colita de cuadril envasado al vacio ,1.0 kg
2035959000007,1,Palomita chingolo ,250.0 gr
2035965000008,1,Matambre envasado al vacio ,1.0 kg
2035980000007,1,Mondongo ,1.0 kg
2035983000004,1,Pollo especial en bandeja ,1.0 kg
2036035000003,1,Higado ,1.0 kg
2036036000002,1,Riñon ,1.0 kg
2036037000001,1,Corazon ,1.0 kg
2036039000009,1,Rabo ,1.0 kg
2036040000005,1,Chinchulines ,1.0 kg
2036042000003,1,Molleja ,1.0 kg
2036074000002,1,Alas de pollo ,1.0 kg
2036076000000,1,Menudos de pollo ,1.0 kg
2036086000007,1,Tripa gorda ,1.0 kg
2036087000006,1,Carre deshuesado premium ,1.0 kg
2036177000008,1,Tendones ,1.0 kg
2036178000007,1,Lengua ,1.0 kg
2037001000003,1,Acelga ,1.0 kg
2037010000001,1,Achicoria ,1.0 kg
2037020000008,1,Morron colorado ,1.0 kg
2037021000007,1,Morron verde ,1.0 kg
2037023000005,1,Morron amarillo ,1.0 kg
2037030000005,1,Ajo granel ,1.0 kg
2037031000004,1,Ajo en bolsa ,1.0 kg
2037042000000,1,Cebolla roja ,1.0 kg
2037050000009,1,Apio ,1.0 kg
2037060000006,1,Batata ,1.0 kg
2037061000005,1,Batata boniato ,1.0 kg
2037070000003,1,Berenjena ,1.0 kg
2037072000001,1,Berenjena variedades ,1.0 kg
2037079000004,1,Brocoli ,1.0 kg
2037100000003,1,Cebolla de verdeo ,1.0 kg
2037101000002,1,Cebolla ,1.0 kg
2037104000009,1,Cebolla ,1.0 kg
2037111000009,1,Chauchas ,1.0 kg
2037120000007,1,Choclo ,1.0 kg
2037130000004,1,Coliflor ,1.0 kg
2037151000007,1,Esparrago verde ,1.0 kg
2037170000002,1,Hinojo ,1.0 kg
2037190000006,1,Lechuga capuchina ,1.0 kg
2037192000004,1,Lechuga frances ,1.0 kg
2037194000002,1,Lechuga mantecosa ,1.0 kg
2037210000009,1,Papa granel ,1.0 kg
2037212000007,1,Papa comercial bolsita ,1.0 kg
2037214000005,1,Papa bolsita elegida ,1.0 kg
2037220000006,1,Pepino ,1.0 kg
2037250000007,1,Puerro ,1.0 kg
2037280000008,1,Remolacha sin hoja ,1.0 kg
2037290000005,1,Repollo blanco ,1.0 kg
2037292000003,1,Repollo colorado ,1.0 kg
2037297000008,1,Zapallo anco  en rodajas,1.0 kg
2037300000001,1,Tomate perita ,1.0 kg
2037301000000,1,Tomate redondo ,1.0 kg
2037302000009,1,Tomate chico comercial ,1.0 kg
2037310000008,1,Zanahoria ,1.0 kg
2037320000005,1,Zapallito largo ,1.0 kg
2037321000004,1,Zapallito redondo ,1.0 kg
2037330000002,1,Zapallo criollo ,1.0 kg
2037331000001,1,Zapallo anco ,1.0 kg
2037915000007,1,Cebolla dulce en tubo ,1.0 kg
2038011000007,1,Banana ecuador ,1.0 kg
2038040000009,1,Ciruelas ,1.0 kg
2038060000003,1,Durazno ,1.0 kg
2038090000004,1,Limon ,1.0 kg
2038101000009,1,Mandarina ,1.0 kg
2038120000004,1,Manzana grany elegida ,1.0 kg
2038121000003,1,Manzana grany ,1.0 kg
2038124000000,1,Manzana variedades ,1.0 kg
2038129000005,1,Manzana red elegida ,1.0 kg
2038130000001,1,Melon ,1.0 kg
2038140000008,1,Naranja ,1.0 kg
2038160000002,1,Pelon ,1.0 kg
2038170000009,1,Pera ,1.0 kg
2038180000006,1,Pomelo ,1.0 kg
2038200000009,1,Sandia ,1.0 kg
2038212000004,1,Uvas ,1.0 kg
2038214000002,1,Kiwi ,1.0 kg
2038215000001,1,Lechuga morada ,1.0 kg
2038258000006,1,Cebolla ,1.0 kg
2038291000001,1,Zapallo anco fraccionado ,1.0 kg
2038337000002,1,Zapallo ingles ,1.0 kg
2055617000002,1,Banana platano ,1.0 kg
2056390000005,1,Alas de pollo ,1.0 kg
2056397000008,1,Menudos de pollo ,1.0 kg
2060039000004,1,Pan felipe ,1.0 kg
2060040000000,1,Pan flauta ,1.0 kg
2060643000001,1,Chorizo fresco tipo parrillero ,1.0 kg
2060644000000,1,Chorizo fresco de carne de cerdo ,1.0 kg
2060645000009,1,Salchichas parrilleras ,1.0 kg
2064590000008,1,Lengua ,1.0 kg
2065305000009,1,Chorizo fresco vacuno ,1.0 kg
2065306000008,1,Salchichas vacunas ,1.0 kg
2068482000008,1,Chorizo fresco tipo parrillero al vacio ,1.0 kg
2068483000007,1,Salchichas parrilleras envasadas al vacio ,1.0 kg
2068484000006,1,Chorizo de carne 100% cerdo al vacio ,1.0 kg
