provinciaLocalidadId,provinciaId,localidad
1,1,BARRIO CASTAÑARES
2,1,Capital
3,1,Joaquin V Gonzalez
4,1,Metan
5,1,ORAN
6,1,SALTA
7,1,SAN RAMON DE LA NUEVA ORAN
8,1,Salta
9,1,San Ramon de la Nueva Oran
10,1,TARTAGAL
11,2,25 De Mayo
12,2,25 de Mayo
13,2,3 de Febrero
14,2,9 De Abril
15,2,9 de Julio
16,2,ACASSUSO
17,2,ADROGUE
18,2,ALMIRANTE BROWN
19,2,AVELLANEDA
20,2,Acassuso
21,2,Adolfo Sordeaux
22,2,Adolfo Sourdeaux
23,2,Adrogue
24,2,Adrogué
25,2,Alberti
26,2,Aldo Bonzi
27,2,Alejandro Korn
28,2,Almirante Brown
29,2,America
30,2,Arrecifes
31,2,Avellaneda
32,2,Ayacucho
33,2,Azul
34,2,BAHIA BLANCA
35,2,BANFIELD
36,2,BARRIO EL DORADO
37,2,BELEN DE ESCOBAR
38,2,BELLA VISTA
39,2,BERAZATEGUI
40,2,Bahia Blanca
41,2,Bahía Blanca
42,2,Balcarce
43,2,Banfield
44,2,Batán
45,2,Beccar
46,2,Bella Vista
47,2,Benavidez
48,2,Benito Juarez
49,2,Berazategui
50,2,Berisso
51,2,Bernal
52,2,Bolivar
53,2,Boulogne
54,2,Bragado
55,2,Budge
56,2,Burzaco
57,2,CAMPANA
58,2,CANNING
59,2,CASEROS
60,2,"CASEROS ,PARTIDO 3 DE FEBRERO"
61,2,CASTELAR
62,2,CAÑUELAS
63,2,CHASCOMUS
64,2,CHIVILCOY
65,2,CITY BELL
66,2,CIUDADELA
67,2,CLAYPOLE
68,2,Cabildo
69,2,Campana
70,2,Capital Federal
71,2,Capitan Sarmiento
72,2,Capitán Sarmiento
73,2,Carapachay
74,2,Carlos Casares
75,2,Carmen De Areco
76,2,Carmen de Patagones
77,2,Carmen de Patagones 
78,2,Casbas
79,2,Caseros
80,2,Castelar
81,2,CaÃ±uelas
82,2,Chacabuco
83,2,Chascomus
84,2,Chilavert
85,2,Chivilcoy
